Application_Number,API,STAV,smazat
2013-28792,PUV/28792,Zaniklý dokument,NULL
2013-28801,PUV/28801,Zaniklý dokument,NULL
2013-28807,PUV/28807,Zaniklý dokument,NULL
2013-28808,PUV/28808,Zaniklý dokument,NULL
2013-28813,PUV/28813,Zaniklý dokument,NULL
2013-28816,PUV/28816,Zaniklý dokument,NULL
2013-28818,PUV/28818,Zaniklý dokument,NULL
2013-28819,PUV/28819,Zaniklý dokument,NULL
2013-28820,PUV/28820,Zaniklý dokument,NULL
2013-28821,PUV/28821,Zaniklý dokument,NULL
2013-28822,PUV/28822,Zaniklý dokument,NULL
2013-28840,PUV/28840,Zaniklý dokument,NULL
2013-28851,PUV/28851,Zaniklý dokument,NULL
2013-28852,PUV/28852,Zaniklý dokument,NULL
2013-28853,PUV/28853,Zaniklý dokument,NULL
2013-28860,PUV/28860,Zaniklý dokument,NULL
2013-28867,PUV/28867,Zaniklý dokument,NULL
2013-28878,PUV/28878,Zaniklý dokument,NULL
2013-28881,PUV/28881,Zaniklý dokument,NULL
2013-28882,PUV/28882,Zaniklý dokument,NULL
2013-28893,PUV/28893,Zaniklý dokument,NULL
2013-28900,PUV/28900,Zaniklý dokument,NULL
2013-28901,PUV/28901,Zaniklý dokument,NULL
2013-28902,PUV/28902,Zaniklý dokument,NULL
2013-28918,PUV/28918,Zaniklý dokument,NULL
2013-28923,PUV/28923,Zaniklý dokument,NULL
2013-28926,PUV/28926,Zaniklý dokument,NULL
2013-28928,PUV/28928,Zaniklý dokument,NULL
2013-28932,PUV/28932,Zaniklý dokument,NULL
2013-28933,PUV/28933,Zaniklý dokument,NULL
2013-28934,PUV/28934,Zaniklý dokument,NULL
2013-28937,PUV/28937,Zaniklý dokument,NULL
2013-28938,PUV/28938,Zaniklý dokument,NULL
2013-28946,PUV/28946,Zaniklý dokument,NULL
2013-28947,PUV/28947,Zaniklý dokument,NULL
2013-28949,PUV/28949,Zaniklý dokument,NULL
2013-28950,PUV/28950,Zaniklý dokument,NULL
2013-28952,PUV/28952,Zaniklý dokument,NULL
2013-28953,PUV/28953,Zaniklý dokument,NULL
2013-28955,PUV/28955,Zaniklý dokument,NULL
2013-28957,PUV/28957,Zaniklý dokument,NULL
2013-28960,PUV/28960,Zaniklý dokument,NULL
2013-28983,PUV/28983,Zaniklý dokument,NULL
2013-28985,PUV/28985,Zaniklý dokument,NULL
2013-28986,PUV/28986,Zaniklý dokument,NULL
2013-28987,PUV/28987,Zaniklý dokument,NULL
2013-28991,PUV/28991,Zaniklý dokument,NULL
2013-28993,PUV/28993,Zaniklý dokument,NULL
2013-28995,PUV/28995,Zaniklý dokument,NULL
2013-28996,PUV/28996,Zaniklý dokument,NULL
2013-29001,PUV/29001,Zaniklý dokument,NULL
2013-29002,PUV/29002,Zaniklý dokument,NULL
2013-29003,PUV/29003,Zaniklý dokument,NULL
2013-29004,PUV/29004,Zaniklý dokument,NULL
2013-29005,PUV/29005,Zaniklý dokument,NULL
2013-29011,PUV/29011,Zaniklý dokument,NULL
2013-29015,PUV/29015,Zaniklý dokument,NULL
2013-29017,PUV/29017,Zaniklý dokument,NULL
2013-29018,PUV/29018,Zaniklý dokument,NULL
2013-29019,PUV/29019,Zaniklý dokument,NULL
2013-29020,PUV/29020,Zaniklý dokument,NULL
2013-29023,PUV/29023,Zaniklý dokument,NULL
2013-29031,PUV/29031,Zaniklý dokument,NULL
2013-29034,PUV/29034,Zaniklý dokument,NULL
2013-299,PT/2013-299,Negativně ukončený po zveřejněnĂ­,NULL
