Application_Number,API,STAV,smazat
2013-302,PT/2013-302,Zaniklý dokument,NULL
2013-303,PT/2013-303,Zaniklý dokument,NULL
2013-304,PT/2013-304,Zaniklý dokument,NULL
2013-307,PT/2013-307,Negativně ukončený po zveřejněnĂ­,NULL
2013-30,PT/2013-30,Platný dokument,NULL
2013-312,PT/2013-312,Zaniklý dokument,NULL
2013-314,PT/2013-314,Zaniklý dokument,NULL
2013-328,PT/2013-328,Zaniklý dokument,NULL
2013-331,PT/2013-331,Platný dokument,NULL
2013-338,PT/2013-338,Negativně ukončený po zveřejněnĂ­,NULL
2013-339,PT/2013-339,Zaniklý dokument,NULL
2013-342,PT/2013-342,Zaniklý dokument,NULL
2013-344,PT/2013-344,Platný dokument na poshovovací lhůtě,NULL
2013-349,PT/2013-349,Zaniklý dokument,NULL
2013-34,PT/2013-34,Platný dokument,NULL
2013-350,PT/2013-350,Platný dokument na poshovovací lhůtě,NULL
2013-355,PT/2013-355,Zaniklý dokument,NULL
2013-35,PT/2013-35,Platný dokument,NULL
2013-372,PT/2013-372,Platný dokument na poshovovací lhůtě,NULL
2013-376,PT/2013-376,Zaniklý dokument,NULL
2013-377,PT/2013-377,Zaniklý dokument,NULL
2013-382,PT/2013-382,Zaniklý dokument,NULL
2013-393,PT/2013-393,Zaniklý dokument,NULL
2013-395,PT/2013-395,Zaniklý dokument,NULL
2013-396,PT/2013-396,Zaniklý dokument,NULL
2013-397,PT/2013-397,Zaniklý dokument,NULL
2013-39,PT/2013-39,Zaniklý dokument,NULL
2013-412,PT/2013-412,Zaniklý dokument,NULL
2013-413,PT/2013-413,Zaniklý dokument,NULL
2013-415,PT/2013-415,Zaniklý dokument,NULL
2013-420,PT/2013-420,Negativně ukončený po zveřejněnĂ­,NULL
2013-421,PT/2013-421,Zaniklý dokument,NULL
2013-422,PT/2013-422,Zaniklý dokument,NULL
2013-436,PT/2013-436,Zaniklý dokument,NULL
2013-438,PT/2013-438,Zaniklý dokument,NULL
2013-444,PT/2013-444,Zaniklý dokument,NULL
2013-451,PT/2013-451,Platný dokument,NULL
2013-457,PT/2013-457,Negativně ukončený po zveřejněnĂ­,NULL
2013-460,PT/2013-460,Zaniklý dokument,NULL
2013-461,PT/2013-461,Zaniklý dokument,NULL
2013-466012,EP/2743040,Neúčinný EP od počátku,NULL
2013-466019,EP/2845640,Neúčinný EP od počátku,NULL
2013-466021,EP/2851481,Neúčinný EP od počátku,NULL
2013-466023,EP/2853813,Neúčinný EP od počátku,NULL
2013-466027,EP/2732928,Neúčinný EP od počátku,NULL
2013-466038,EP/2746235,Neúčinný EP od počátku,NULL
2013-466,PT/2013-466,Zaniklý dokument,NULL
2013-467,PT/2013-467,Zaniklý dokument,NULL
2013-473,PT/2013-473,Platný dokument,NULL
2013-482,PT/2013-482,Zaniklý dokument,NULL
2013-485,PT/2013-485,Zaniklý dokument,NULL
2013-491,PT/2013-491,Zaniklý dokument,NULL
2013-495,PT/2013-495,Zaniklý dokument,NULL
2013-497,PT/2013-497,Zaniklý dokument,NULL
2013-501,PT/2013-501,Zaniklý dokument,NULL
2013-503,PT/2013-503,Zaniklý dokument,NULL
2013-505,PT/2013-505,Zaniklý dokument,NULL
2013-507,PT/2013-507,Zaniklý dokument,NULL
2013-50,PT/2013-50,Zaniklý dokument,NULL
2013-515,PT/2013-515,Zaniklý dokument,NULL
2013-51,PT/2013-51,Zaniklý dokument,NULL
2013-525,PT/2013-525,Negativně ukončený po zveřejněnĂ­,NULL
2013-533,PT/2013-533,Zaniklý dokument,NULL
2013-538,PT/2013-538,Negativně ukončený po zveřejněnĂ­,NULL
2013-539,PT/2013-539,Zaniklý dokument,NULL
2013-542,PT/2013-542,Zaniklý dokument,NULL
2013-557,PT/2013-557,Zaniklý dokument,NULL
2013-568,PT/2013-568,Zaniklý dokument,NULL
2013-569,PT/2013-569,Zaniklý dokument,NULL
2013-56,PT/2013-56,Platný dokument,NULL
2013-570,PT/2013-570,Zaniklý dokument,NULL
2013-5711,EP/2775268,Neúčinný EP od počátku,NULL
2013-574,PT/2013-574,Zveřejněná přihláška,NULL
2013-57,PT/2013-57,Zaniklý dokument,NULL
2013-59,PT/2013-59,Zaniklý dokument,NULL
2013-5,PT/2013-5,Platný dokument,NULL
2013-603,PT/2013-603,Zaniklý dokument,NULL
2013-605,PT/2013-605,Zaniklý dokument,NULL
2013-606,PT/2013-606,Platný dokument,NULL
2013-613,PT/2013-613,Zaniklý dokument,NULL
2013-619,PT/2013-619,Zaniklý dokument,NULL
2013-62,PT/2013-62,Negativně ukončený po zveřejněnĂ­,NULL
2013-63,PT/2013-63,Zaniklý dokument,NULL
2013-642,PT/2013-642,Negativně ukončený po zveřejněnĂ­,NULL
2013-644,PT/2013-644,Zaniklý dokument,NULL
2013-648,PT/2013-648,Negativně ukončený po zveřejněnĂ­,NULL
2013-656,PT/2013-656,Zaniklý dokument,NULL
2013-658,PT/2013-658,Zaniklý dokument,NULL
2013-659,PT/2013-659,Zaniklý dokument,NULL
2013-660,PT/2013-660,Zaniklý dokument,NULL
2013-662,PT/2013-662,Negativně ukončený po zveřejněnĂ­,NULL
2013-665,PT/2013-665,Negativně ukončený po zveřejněnĂ­,NULL
2013-669,PT/2013-669,Platný dokument,NULL
2013-670,PT/2013-670,Zaniklý dokument,NULL
2013-671,PT/2013-671,Negativně ukončený po zveřejněnĂ­,NULL
2013-672,PT/2013-672,Zaniklý dokument,NULL
2013-673,PT/2013-673,Platný dokument,NULL
2013-678,PT/2013-678,Negativně ukončený po zveřejněnĂ­,NULL
2013-684,PT/2013-684,Zaniklý dokument,NULL
2013-687,PT/2013-687,Zaniklý dokument,NULL
2013-689,PT/2013-689,Zaniklý dokument,NULL
2013-691,PT/2013-691,Zaniklý dokument,NULL
2013-694,PT/2013-694,Platný dokument,NULL
2013-701,PT/2013-701,Zaniklý dokument,NULL
2013-706,PT/2013-706,Zaniklý dokument,NULL
2013-711,PT/2013-711,Zaniklý dokument,NULL
2013-714184,EP/2816925,Zaniklý dokument,NULL
2013-714,PT/2013-714,Zaniklý dokument,NULL
2013-715,PT/2013-715,Zaniklý dokument,NULL
2013-717,PT/2013-717,Zaniklý dokument,NULL
2013-718,PT/2013-718,Platný dokument,NULL
2013-71,PT/2013-71,Zaniklý dokument,NULL
2013-724,PT/2013-724,Zveřejněná přihláška,NULL
2013-727,PT/2013-727,Zaniklý dokument,NULL
2013-736,PT/2013-736,Zaniklý dokument,NULL
2013-740,PT/2013-740,Zaniklý dokument,NULL
2013-750,PT/2013-750,Zaniklý dokument,NULL
2013-752573,EP/2882437,Zaniklý dokument,NULL
2013-756,PT/2013-756,Zaniklý dokument,NULL
2013-758,PT/2013-758,Negativně ukončený po zveřejněnĂ­,NULL
2013-759,PT/2013-759,Negativně ukončený po zveřejněnĂ­,NULL
2013-75,PT/2013-75,Zaniklý dokument,NULL
2013-760,PT/2013-760,Zaniklý dokument,NULL
2013-762381,EP/2888275,Neúčinný EP od počátku,NULL
2013-762,PT/2013-762,Zaniklý dokument,NULL
2013-765,PT/2013-765,Zaniklý dokument,NULL
2013-771,PT/2013-771,Platný dokument,NULL
2013-774,PT/2013-774,Zaniklý dokument,NULL
2013-782,PT/2013-782,Negativně ukončený po zveřejněnĂ­,NULL
2013-786,PT/2013-786,Zaniklý dokument,NULL
2013-787,PT/2013-787,Negativně ukončený po zveřejněnĂ­,NULL
2013-791,PT/2013-791,Platný dokument,NULL
2013-792,PT/2013-792,Zaniklý dokument,NULL
2013-793,PT/2013-793,Zaniklý dokument,NULL
2013-802221,EP/2909603,Neúčinný EP od počátku,NULL
2013-802526,EP/2928382,Neúčinný EP od počátku,NULL
2013-802860,EP/2917391,Platný dokument,NULL
2013-812,PT/2013-812,Zaniklý dokument,NULL
2013-815,PT/2013-815,Zaniklý dokument,NULL
2013-816,PT/2013-816,Zaniklý dokument,NULL
2013-821,PT/2013-821,Zaniklý dokument,NULL
2013-822,PT/2013-822,Zaniklý dokument,NULL
2013-824581,EP/2931951,Platný dokument,NULL
2013-826,PT/2013-826,Zrušený patent,NULL
2013-829,PT/2013-829,Negativně ukončený po zveřejněnĂ­,NULL
2013-82,PT/2013-82,Zaniklý dokument,NULL
2013-831,PT/2013-831,Zaniklý dokument,NULL
2013-834,PT/2013-834,Platný dokument,NULL
2013-835,PT/2013-835,Zaniklý dokument,NULL
2013-838,PT/2013-838,Negativně ukončený po zveřejněnĂ­,NULL
2013-845,PT/2013-845,Platný dokument,NULL
2013-846,PT/2013-846,Zaniklý dokument,NULL
2013-847,PT/2013-847,Zaniklý dokument,NULL
2013-848,PT/2013-848,Zaniklý dokument,NULL
2013-84,PT/2013-84,Zaniklý dokument,NULL
2013-861,PT/2013-861,Zaniklý dokument,NULL
2013-863,PT/2013-863,Zaniklý dokument,NULL
2013-864,PT/2013-864,Zaniklý dokument,NULL
2013-86,PT/2013-86,Zaniklý dokument,NULL
2013-870,PT/2013-870,Platný dokument,NULL
2013-880,PT/2013-880,Platný dokument,NULL
2013-882,PT/2013-882,Zaniklý dokument,NULL
2013-885,PT/2013-885,Platný dokument,NULL
2013-88,PT/2013-88,Zaniklý dokument,NULL
2013-892,PT/2013-892,Negativně ukončený po zveřejněnĂ­,NULL
2013-893,PT/2013-893,Negativně ukončený po zveřejněnĂ­,NULL
2013-894,PT/2013-894,Negativně ukončený po zveřejněnĂ­,NULL
2013-895,PT/2013-895,Negativně ukončený po zveřejněnĂ­,NULL
2013-896,PT/2013-896,Negativně ukončený po zveřejněnĂ­,NULL
2013-904,PT/2013-904,Platný dokument,NULL
2013-909,PT/2013-909,Platný dokument,NULL
2013-918,PT/2013-918,Zaniklý dokument,NULL
2013-919,PT/2013-919,Zaniklý dokument,NULL
2013-922,PT/2013-922,Zaniklý dokument,NULL
2013-923,PT/2013-923,Zaniklý dokument,NULL
2013-936,PT/2013-936,Zaniklý dokument,NULL
2013-941,PT/2013-941,Negativně ukončený po zveřejněnĂ­,NULL
2013-944,PT/2013-944,Zaniklý dokument,NULL
2013-948,PT/2013-948,Zaniklý dokument,NULL
2013-959,PT/2013-959,Zaniklý dokument,NULL
2013-961,PT/2013-961,Zaniklý dokument,NULL
2013-964,PT/2013-964,Negativně ukončený po zveřejněnĂ­,NULL
2013-966,PT/2013-966,Zaniklý dokument,NULL
2013-970,PT/2013-970,Platný dokument,NULL
2013-976,PT/2013-976,Zaniklý dokument,NULL
2013-986,PT/2013-986,Zaniklý dokument,NULL
2013-987,PT/2013-987,Zaniklý dokument,NULL
2013-988,PT/2013-988,Zaniklý dokument,NULL
2013-989,PT/2013-989,Zaniklý dokument,NULL
2013-98,PT/2013-98,Zaniklý dokument,NULL
2013-992,PT/2013-992,Negativně ukončený po zveřejněnĂ­,NULL
2013-993,PT/2013-993,Zaniklý dokument,NULL
2013-99,PT/2013-99,Zaniklý dokument,NULL
2014-103,PT/2014-103,Platný dokument,NULL
2014-114,PT/2014-114,Zaniklý dokument,NULL
2014-119,PT/2014-119,Platný dokument,NULL
2014-123,PT/2014-123,Zaniklý dokument,NULL
2014-12,PT/2014-12,Zaniklý dokument,NULL
2014-134,PT/2014-134,Zaniklý dokument,NULL
2014-135,PT/2014-135,Zaniklý dokument,NULL
2014-147,PT/2014-147,Zaniklý dokument,NULL
2014-150931,EP/2765428,Neúčinný EP od počátku,NULL
2014-157,PT/2014-157,Zaniklý dokument,NULL
2014-166547,EP/2940022,Neúčinný EP od počátku,NULL
2014-169931,EP/2811307,Neúčinný EP od počátku,NULL
2014-171,PT/2014-171,Zaniklý dokument,NULL
2014-173225,EP/2816357,Neúčinný EP od počátku,NULL
2014-173242,EP/2957562,Neúčinný EP od počátku,NULL
2014-1821,EP/2946863,Neúčinný EP od počátku,NULL
2014-182,PT/2014-182,Zaniklý dokument,NULL
2014-184366,EP/2862967,Neúčinný EP od počátku,NULL
2014-184711,EP/2851647,Neúčinný EP od počátku,NULL
2014-185,PT/2014-185,Zaniklý dokument,NULL
2014-186,PT/2014-186,Zaniklý dokument,NULL
2014-189,PT/2014-189,Platný dokument,NULL
2014-190,PT/2014-190,Zaniklý dokument,NULL
2014-193271,EP/2901890,Neúčinný EP od počátku,NULL
2014-193,PT/2014-193,Platný dokument,NULL
2014-194,PT/2014-194,Zaniklý dokument,NULL
2014-196786,EP/2926639,Neúčinný EP od počátku,NULL
2014-1,PT/2014-1,Zaniklý dokument,NULL
2014-201,PT/2014-201,Zaniklý dokument,NULL
2014-202,PT/2014-202,Zaniklý dokument,NULL
2014-212,PT/2014-212,Zaniklý dokument,NULL
2014-213,PT/2014-213,Zaniklý dokument,NULL
2014-215,PT/2014-215,Negativně ukončený po zveřejněnĂ­,NULL
2014-2169,EP/2827119,Zaniklý dokument,NULL
2014-225,PT/2014-225,Zaniklý dokument,NULL
2014-228,PT/2014-228,Platný dokument,NULL
2014-230,PT/2014-230,Zaniklý dokument,NULL
2014-231,PT/2014-231,Negativně ukončený po zveřejněnĂ­,NULL
2014-234,PT/2014-234,Negativně ukončený po zveřejněnĂ­,NULL
2014-24,PT/2014-24,Zaniklý dokument,NULL
2014-250,PT/2014-250,Platný dokument,NULL
2014-257,PT/2014-257,Zaniklý dokument,NULL
2014-258,PT/2014-258,Zaniklý dokument,NULL
2014-260,PT/2014-260,Zaniklý dokument,NULL
2014-261,PT/2014-261,Negativně ukončený po zveřejněnĂ­,NULL
2014-263,PT/2014-263,Zaniklý dokument,NULL
2014-264,PT/2014-264,Zaniklý dokument,NULL
2014-265,PT/2014-265,Zaniklý dokument,NULL
2014-269,PT/2014-269,Zaniklý dokument,NULL
2014-275,PT/2014-275,Zaniklý dokument,NULL
2014-286,PT/2014-286,Zaniklý dokument,NULL
2014-287,PT/2014-287,Negativně ukončený po zveřejněnĂ­,NULL
2014-29039,PUV/29039,Zaniklý dokument,NULL
2014-29043,PUV/29043,Zaniklý dokument,NULL
2014-29045,PUV/29045,Zaniklý dokument,NULL
2014-29049,PUV/29049,Zaniklý dokument,NULL
2014-29063,PUV/29063,Zaniklý dokument,NULL
2014-29064,PUV/29064,Zaniklý dokument,NULL
2014-29065,PUV/29065,Zaniklý dokument,NULL
2014-29067,PUV/29067,Zaniklý dokument,NULL
2014-29068,PUV/29068,Zaniklý dokument,NULL
2014-29069,PUV/29069,Zaniklý dokument,NULL
2014-29073,PUV/29073,Zaniklý dokument,NULL
2014-29075,PUV/29075,Zaniklý dokument,NULL
2014-29080,PUV/29080,Zaniklý dokument,NULL
2014-29081,PUV/29081,Zaniklý dokument,NULL
2014-29083,PUV/29083,Zaniklý dokument,NULL
2014-29087,PUV/29087,Zaniklý dokument,NULL
2014-29089,PUV/29089,Zaniklý dokument,NULL
2014-29091,PUV/29091,Zaniklý dokument,NULL
2014-290,PT/2014-290,Platný dokument prošlá poshovovací lhůta,NULL
2014-29100,PUV/29100,Zaniklý dokument,NULL
2014-29101,PUV/29101,Zaniklý dokument,NULL
2014-29107,PUV/29107,Zaniklý dokument,NULL
2014-29109,PUV/29109,Zaniklý dokument,NULL
2014-29112,PUV/29112,Zaniklý dokument,NULL
2014-29117,PUV/29117,Zaniklý dokument,NULL
2014-29120,PUV/29120,Zaniklý dokument,NULL
2014-29121,PUV/29121,Zaniklý dokument,NULL
2014-29124,PUV/29124,Zaniklý dokument,NULL
2014-29128,PUV/29128,Zaniklý dokument,NULL
2014-29136,PUV/29136,Zaniklý dokument,NULL
2014-29141,PUV/29141,Zaniklý dokument,NULL
2014-29146,PUV/29146,Zaniklý dokument,NULL
2014-29147,PUV/29147,Zaniklý dokument,NULL
2014-29158,PUV/29158,Zaniklý dokument,NULL
2014-29163,PUV/29163,Zaniklý dokument,NULL
2014-29164,PUV/29164,Zaniklý dokument,NULL
2014-29170,PUV/29170,Zaniklý dokument,NULL
2014-29180,PUV/29180,Zaniklý dokument,NULL
2014-29189,PUV/29189,Zaniklý dokument,NULL
2014-29191,PUV/29191,Zaniklý dokument,NULL
2014-29201,PUV/29201,Zaniklý dokument,NULL
2014-29202,PUV/29202,Zaniklý dokument,NULL
2014-29203,PUV/29203,Zaniklý dokument,NULL
2014-29212,PUV/29212,Zaniklý dokument,NULL
2014-29219,PUV/29219,Zaniklý dokument,NULL
2014-29221,PUV/29221,Zaniklý dokument,NULL
2014-29229,PUV/29229,Zaniklý dokument,NULL
2014-29231,PUV/29231,Zaniklý dokument,NULL
2014-29236,PUV/29236,Zaniklý dokument,NULL
2014-29237,PUV/29237,Zaniklý dokument,NULL
2014-29238,PUV/29238,Zaniklý dokument,NULL
2014-29263,PUV/29263,Zaniklý dokument,NULL
2014-29288,PUV/29288,Zaniklý dokument,NULL
2014-29296,PUV/29296,Zaniklý dokument,NULL
2014-29307,PUV/29307,Zaniklý dokument,NULL
2014-29312,PUV/29312,Zaniklý dokument,NULL
2014-29313,PUV/29313,Zaniklý dokument,NULL
2014-29317,PUV/29317,Zaniklý dokument,NULL
2014-29318,PUV/29318,Zaniklý dokument,NULL
2014-29333,PUV/29333,Zaniklý dokument,NULL
2014-29343,PUV/29343,Zaniklý dokument,NULL
2014-29359,PUV/29359,Zaniklý dokument,NULL
2014-29362,PUV/29362,Zaniklý dokument,NULL
2014-29368,PUV/29368,Zaniklý dokument,NULL
2014-29374,PUV/29374,Zaniklý dokument,NULL
2014-29383,PUV/29383,Zaniklý dokument,NULL
2014-29390,PUV/29390,Zaniklý dokument,NULL
2014-29392,PUV/29392,Zaniklý dokument,NULL
2014-29393,PUV/29393,Zaniklý dokument,NULL
2014-29394,PUV/29394,Zaniklý dokument,NULL
2014-29399,PUV/29399,Zaniklý dokument,NULL
2014-29401,PUV/29401,Zaniklý dokument,NULL
2014-29404,PUV/29404,Zaniklý dokument,NULL
2014-29405,PUV/29405,Zaniklý dokument,NULL
2014-29410,PUV/29410,Zaniklý dokument,NULL
2014-29411,PUV/29411,Zaniklý dokument,NULL
2014-29420,PUV/29420,Zaniklý dokument,NULL
2014-29422,PUV/29422,Zaniklý dokument,NULL
2014-29426,PUV/29426,Zaniklý dokument,NULL
2014-29428,PUV/29428,Zaniklý dokument,NULL
2014-29435,PUV/29435,Zaniklý dokument,NULL
2014-29442,PUV/29442,Zaniklý dokument,NULL
2014-29444,PUV/29444,Zaniklý dokument,NULL
2014-29445,PUV/29445,Zaniklý dokument,NULL
2014-29450,PUV/29450,Zaniklý dokument,NULL
2014-29454,PUV/29454,Zaniklý dokument,NULL
2014-29456,PUV/29456,Zaniklý dokument,NULL
2014-29459,PUV/29459,Zaniklý dokument,NULL
2014-29470,PUV/29470,Zaniklý dokument,NULL
2014-29471,PUV/29471,Zaniklý dokument,NULL
2014-29477,PUV/29477,Zaniklý dokument,NULL
2014-29487,PUV/29487,Zaniklý dokument,NULL
2014-29492,PUV/29492,Zaniklý dokument,NULL
2014-29498,PUV/29498,Zaniklý dokument,NULL
2014-294,PT/2014-294,Zaniklý dokument,NULL
2014-29500,PUV/29500,Zaniklý dokument,NULL
2014-29503,PUV/29503,Zaniklý dokument,NULL
2014-29509,PUV/29509,Zaniklý dokument,NULL
2014-29510,PUV/29510,Zaniklý dokument,NULL
2014-29511,PUV/29511,Zaniklý dokument,NULL
2014-29519,PUV/29519,Zaniklý dokument,NULL
2014-29525,PUV/29525,Zaniklý dokument,NULL
2014-29529,PUV/29529,Zaniklý dokument,NULL
2014-29538,PUV/29538,Zaniklý dokument,NULL
2014-29539,PUV/29539,Zaniklý dokument,NULL
2014-29548,PUV/29548,Zaniklý dokument,NULL
2014-29549,PUV/29549,Zaniklý dokument,NULL
2014-29552,PUV/29552,Zaniklý dokument,NULL
2014-29553,PUV/29553,Zaniklý dokument,NULL
2014-29560,PUV/29560,Zaniklý dokument,NULL
2014-29564,PUV/29564,Zaniklý dokument,NULL
2014-29574,PUV/29574,Zaniklý dokument,NULL
2014-29577,PUV/29577,Zaniklý dokument,NULL
2014-29585,PUV/29585,Zaniklý dokument,NULL
2014-29591,PUV/29591,Zaniklý dokument,NULL
2014-29594,PUV/29594,Zaniklý dokument,NULL
2014-29595,PUV/29595,Zaniklý dokument,NULL
2014-29598,PUV/29598,Zaniklý dokument,NULL
2014-295,PT/2014-295,Zaniklý dokument,NULL
2014-29635,PUV/29635,Zaniklý dokument,NULL
2014-29651,PUV/29651,Zaniklý dokument,NULL
2014-29655,PUV/29655,Zaniklý dokument,NULL
2014-29656,PUV/29656,Zaniklý dokument,NULL
2014-29672,PUV/29672,Zaniklý dokument,NULL
2014-29682,PUV/29682,Zaniklý dokument,NULL
2014-29686,PUV/29686,Zaniklý dokument,NULL
2014-29687,PUV/29687,Zaniklý dokument,NULL
2014-29692,PUV/29692,Zaniklý dokument,NULL
2014-29699,PUV/29699,Zaniklý dokument,NULL
2014-296,PT/2014-296,Negativně ukončený po zveřejněnĂ­,NULL
2014-29712,PUV/29712,Zaniklý dokument,NULL
2014-29715,PUV/29715,Zaniklý dokument,NULL
2014-29717,PUV/29717,Zaniklý dokument,NULL
2014-29718,PUV/29718,Zaniklý dokument,NULL
2014-29719,PUV/29719,Zaniklý dokument,NULL
2014-29724,PUV/29724,Zaniklý dokument,NULL
2014-29726,PUV/29726,Zaniklý dokument,NULL
2014-29728,PUV/29728,Zaniklý dokument,NULL
2014-29730,PUV/29730,Zaniklý dokument,NULL
2014-29750,PUV/29750,Zaniklý dokument,NULL
2014-29752,PUV/29752,Zaniklý dokument,NULL
2014-29754,PUV/29754,Zaniklý dokument,NULL
2014-29759,PUV/29759,Zaniklý dokument,NULL
2014-29760,PUV/29760,Zaniklý dokument,NULL
2014-29764,PUV/29764,Zaniklý dokument,NULL
2014-29765,PUV/29765,Zaniklý dokument,NULL
2014-29766,PUV/29766,Zaniklý dokument,NULL
2014-29773,PUV/29773,Zaniklý dokument,NULL
2014-29788,PUV/29788,Zaniklý dokument,NULL
2014-29790,PUV/29790,Zaniklý dokument,NULL
2014-29791,PUV/29791,Zaniklý dokument,NULL
2014-29805,PUV/29805,Zaniklý dokument,NULL
2014-29806,PUV/29806,Zaniklý dokument,NULL
2014-29810,PUV/29810,Zaniklý dokument,NULL
2014-29824,PUV/29824,Zaniklý dokument,NULL
2014-29825,PUV/29825,Zaniklý dokument,NULL
2014-29826,PUV/29826,Zaniklý dokument,NULL
2014-29827,PUV/29827,Zaniklý dokument,NULL
2014-29831,PUV/29831,Zaniklý dokument,NULL
2014-29832,PUV/29832,Zaniklý dokument,NULL
2014-29833,PUV/29833,Zaniklý dokument,NULL
2014-29834,PUV/29834,Zaniklý dokument,NULL
2014-29835,PUV/29835,Zaniklý dokument,NULL
2014-29856,PUV/29856,Zaniklý dokument,NULL
2014-29862,PUV/29862,Zaniklý dokument,NULL
2014-29885,PUV/29885,Zaniklý dokument,NULL
2014-29888,PUV/29888,Zaniklý dokument,NULL
2014-29893,PUV/29893,Zaniklý dokument,NULL
2014-29898,PUV/29898,Zaniklý dokument,NULL
2014-29900,PUV/29900,Zaniklý dokument,NULL
2014-29901,PUV/29901,Zaniklý dokument,NULL
2014-29904,PUV/29904,Zaniklý dokument,NULL
2014-29907,PUV/29907,Zaniklý dokument,NULL
2014-29908,PUV/29908,Zaniklý dokument,NULL
2014-29909,PUV/29909,Zaniklý dokument,NULL
2014-29915,PUV/29915,Zaniklý dokument,NULL
2014-29929,PUV/29929,Zaniklý dokument,NULL
2014-29931,PUV/29931,Zaniklý dokument,NULL
2014-29938,PUV/29938,Zaniklý dokument,NULL
2014-29947,PUV/29947,Zaniklý dokument,NULL
2014-29950,PUV/29950,Zaniklý dokument,NULL
2014-29955,PUV/29955,Zaniklý dokument,NULL
2014-29959,PUV/29959,Zaniklý dokument,NULL
2014-29984,PUV/29984,Zaniklý dokument,NULL
2014-29987,PUV/29987,Zaniklý dokument,NULL
2014-29991,PUV/29991,Zaniklý dokument,NULL
2014-29992,PUV/29992,Zaniklý dokument,NULL
2014-29993,PUV/29993,Zaniklý dokument,NULL
2014-29998,PUV/29998,Zaniklý dokument,NULL
2014-30009,PUV/30009,Zaniklý dokument,NULL
2014-30026,PUV/30026,Zaniklý dokument,NULL
2014-30030,PUV/30030,Zaniklý dokument,NULL
2014-30031,PUV/30031,Zaniklý dokument,NULL
2014-30039,PUV/30039,Zaniklý dokument,NULL
2014-30043,PUV/30043,Zaniklý dokument,NULL
2014-30045,PUV/30045,Zaniklý dokument,NULL
2014-30066,PUV/30066,Zaniklý dokument,NULL
2014-30077,PUV/30077,Zaniklý dokument,NULL
2014-30078,PUV/30078,Zaniklý dokument,NULL
2014-30080,PUV/30080,Zaniklý dokument,NULL
2014-30081,PUV/30081,Zaniklý dokument,NULL
2014-30082,PUV/30082,Zaniklý dokument,NULL
2014-30104,PUV/30104,Zaniklý dokument,NULL
2014-30106,PUV/30106,Zaniklý dokument,NULL
2014-30114,PUV/30114,Zaniklý dokument,NULL
2014-30117,PUV/30117,Zaniklý dokument,NULL
2014-30118,PUV/30118,Zaniklý dokument,NULL
2014-30119,PUV/30119,Zaniklý dokument,NULL
2014-30123,PUV/30123,Zaniklý dokument,NULL
2014-30127,PUV/30127,Zaniklý dokument,NULL
2014-30131,PUV/30131,Zaniklý dokument,NULL
2014-30132,PUV/30132,Zaniklý dokument,NULL
2014-30133,PUV/30133,Zaniklý dokument,NULL
2014-30136,PUV/30136,Zaniklý dokument,NULL
2014-30139,PUV/30139,Zaniklý dokument,NULL
2014-30140,PUV/30140,Zaniklý dokument,NULL
2014-30150,PUV/30150,Zaniklý dokument,NULL
2014-30158,PUV/30158,Zaniklý dokument,NULL
2014-30163,PUV/30163,Zaniklý dokument,NULL
2014-30164,PUV/30164,Zaniklý dokument,NULL
2014-30165,PUV/30165,Zaniklý dokument,NULL
2014-30170,PUV/30170,Zaniklý dokument,NULL
2014-30177,PUV/30177,Zaniklý dokument,NULL
2014-30178,PUV/30178,Zaniklý dokument,NULL
2014-30180,PUV/30180,Zaniklý dokument,NULL
2014-30185,PUV/30185,Zaniklý dokument,NULL
2014-30186,PUV/30186,Zaniklý dokument,NULL
2014-30196,PUV/30196,Zaniklý dokument,NULL
2014-30198,PUV/30198,Zaniklý dokument,NULL
2014-301,PT/2014-301,Zaniklý dokument,NULL
2014-30201,PUV/30201,Výmaz dokumentu,NULL
2014-30218,PUV/30218,Zaniklý dokument,NULL
2014-30219,PUV/30219,Zaniklý dokument,NULL
2014-30220,PUV/30220,Zaniklý dokument,NULL
2014-30221,PUV/30221,Zaniklý dokument,NULL
2014-30222,PUV/30222,Zaniklý dokument,NULL
